dataset_origin	title	description	description_length
zenodo	Large DPPC monolayer simulations with Charmm36+OPC @ 310 K (Part 1/2)	DPPC monolayers simulated at a varying area per lipid in the NVT ensemble. The Charmm36 lipid model [1] is employed together with the 4-point OPC water model [2]. Each system contains two monolayers with 256 lipids each. These monolayers are separated by a water slab, and surrounded by vacuum.  The number in the filename corresponds to the area per lipid in Ångströms. The starting structures were generated by setting up a POPC monolayer system with an area per lipid of 50 Å^2, followed by a simulation during which the monolayer area was expanded using PLUMED. Next, POPC was replaced by DPPC, and the systems were energy minimized. Systems with area smaller than 51 Å^2 were generated by compressing the DPPC monolayer system with PLUMED. All trajectories, 100–200 ns long (until convergence of surface tension), are simulated with Gromacs 5.0.x [3] using the default Charmm36 monolayer simulations parameters given in the mdp file. Topology (.top) and index files are also common for all simulations. The topologies (.itp) for the lipids can be obtained from Charmm-GUI and for the OPC water model from https://bioinformatics.cs.vt.edu/~izadi/ . Part 2 of this upload is available at https://doi.org/10.5281/zenodo.838641 Matti Javanainen, Antti Lamberg, Lukasz Cwiklik, Ilpo Vattulainen, and O. H. Samuli Ollila. Atomistic Model for Nearly Quantitative Simulations of Langmuir Monolayers, Langmuir 2018 34 (7), 2565-2572, DOI: 10.1021/acs.langmuir.7b02855 [1] DOI: 10.1021/jp101759q [2] DOI: 10.1021/jz501780a [3] DOI: 10.1016/j.softx.2015.06.001	1623.0
zenodo	Simulations of membrane proteins in a mixture of lipids with varying levels of chain unsaturation	Four structurally distinct membrane proteins were simulated in a mixture of phospholipids. The membranes contained one copy of one of the protein types with equimolar concentrations of DPPC, DOPC, DLiPC, SDPC, and cholesterol. The CHARMM36 force field [1] was employed, and the systems were built using the CHARMM-GUI web portal [2]. The 4-microsecond long simulations were performed using GROMACS [3]. Further details on the setup of the systems as well as on the simulation protocol can be found in the related paper at DOI: 10.1371/journal.pcbi.1007033. The files are named based on the PDB codes of the proteins (1AFO, 2M0B, 3EML, and 3EMN). For each system, the original simulation run input file (tpr) and the corresponding outputs (xtc, edr) are provided. Additionally, the simulations can be extended using the continue point (cpt) file. For each system the files required to generate the run input file are also provided: the topology file (top), index file (ndx), and a common run parameter file (mdp). The CHARMM36 force field can be downloaded from http://mackerell.umaryland.edu/charmm_ff.shtml Notably, the protein definition files (itp) were re-generated. After performing these simulations, the atom ordering of cholesterol in the CHARMM36 force field was changed. The provided gro files, as well as the lipid definition files (itp) correspond to this new atom order. While they can be used to generate a run input file, yet this run input file will not be identical to the one provided. Therefore: 1) for analysis, the provided xtc+tpr files are fine; 2) for extending the simulation, the tpr+cpt files are fine; 3) for new simulations, the tpr file can be generated based on the provided files, yet it cannot be used together with the provided xtc file. [1] DOI: 10.1021/jp101759q [2] DOI: 10.1021/acs.jctc.5b00935 [3] DOI: 10.1016/j.softx.2015.06.001	1966.0
zenodo	DPPC monolayer simulations with Slipids+OPC	"DPPC monolayers simulated at a varying area per lipid in the NVT ensemble. The Slipids lipid model [1] is employed together with the 4-point OPC water model [2]. Each system contains two monolayers with 64 lipids each with a change in simulation box size, except for the system titled 'large'. '200large' contains 128 lipids per monolayer, '400large' 64 lipids per monolayer and '1500large' 17 lipids per monolayer. These 'large' monolayers all have the same simulation box size. All monolayers are separated by a water slab, and surrounded by vacuum.  The number in the filename corresponds to the area per lipid in Ångströms. The starting structures were taken from [3], which also provides detailed information on system setup. The simulations in [3] used TIP3P water, which was replaced by OPC, followed by energy minimization and production runs. The 'large' monolayers were generated from the system 'md100' by replicating it four-fold (2x2) and subsequently removing lipids until the desired area per lipid was reached. All trajectories, 100 ns long, are simulated with Gromacs 4.6.x [4] using the parameters given in the mdp file. The topologies for the lipids can be obtained from http://www.fos.su.se/~sasha/SLipids/Downloads.html and for the OPC water model from https://bioinformatics.cs.vt.edu/~izadi/ . Note that .top and .ndx files are for all systems except for the ""large"" ones. [1] DOI: 10.1021/jp101759q [2] DOI: 10.1021/jz501780a [3] DOI: 10.1016/j.bbamem.2016.09.015 [4] DOI: 10.1093/bioinformatics/btt055"	1569.0
zenodo	Simulations of DPPC/Cholesterol bilayers with the Slipids force field, part 1/2	"Simulation data related to our publication ""Nanoscale Membrane Domain Formation Driven by Cholesterol"" (DOI:10.1038/s41598-017-01247-9), part 1/2. Part 2/2 of the data are in the Zenodo record (DOI:10.5281/zenodo.439080). Please note that the description below covers both parts. Data for both cholesterol-free calibration simulations (letters in Table S1 and Fig. 1) and for cholesterol-containing simulations (numbers in Table S1 and Fig. 1) are included. The files are named as ""dppc-X-Y.Z"", where X is the cholesterol concentration, Y the simulation temperature (not shifted, see the paper), and Z defines the file type (in GROMACS formats): xtc for trajectory, edr for energy file, tpr for the simulation input file, and .cpt for the checkpoint file. The index file (.ndx) and the topology file (.top) are common among systems with equal cholesterol concentration. The simulation parameter file (.mdp) is common for all simulations, only the target temperature of the thermostat needs to be adjusted. Simulation lengths vary between 300 and 1400 ns, and the trajectories are written every 100 ps. Further information on the setup and composition of the simulated systems is available in the paper. The Slipids force field [1,2,3] is employed, and the topologies (.itp) are available at http://www.fos.su.se/~sasha/SLipids/ All simulations were performed with Gromacs 4.6.x    [1] Derivation and Systematic Validation of a Refined All-Atom Force Field for Phosphatidylcholine Lipids. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, The Journal of Physical Chemistry B 2012 116 (10), 3164-3179, DOI: 10.1021/jp212503e [2] An Extension and Further Validation of an All-Atomistic Force Field for Biological Membranes. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2012 8 (8), 2938-2948, DOI: 10.1021/ct300342n [3] Another Piece of the Membrane Puzzle: Extending Slipids Further. Joakim P. M. Jämbeck and Alexander P. Lyubartsev, Journal of Chemical Theory and Computation 2013 9 (1), 774-784, DOI: 10.1021/ct300777p"	2144.0
zenodo	Bug in CCFD stress profile calculation of GROMACS-LS?	In Martini simulations (15 us, last 5 us analyzed) of an asymmetric GM1+POPC lipid bilayer (5+95 upper, 0+100 lower leaflet) strong stress fluctuations arising from the dihedral contributions of CCF decomposition are found. It is possible that these are due to a slight bug in the GROMACS-LS (http://mdstress.org) code, because: 1) The fluctuations do not show converge, when more data is added, see the attached plot ‘effect_of_sampling_rate.pdf’. 2) The fluctuations (but no other features of the stress profiles) visibly depend on the chosen frame of reference, see ‘effect_of_centering_schemes.pdf’. 3) The stress profiles calculated along the coordinates that lay in the membrane plane (x and y), are not constant in CCFD, see ‘profiles_along_x_and_y.pdf’.   To assist debugging the code, this repository contains: 5to95_0to100_0.trr --- 1st 33.3% of a 5 us trajectory with snapshots every 100 ps 5to95_0to100_0.trr --- 2nd 33.3% of a 5 us trajectory with snapshots every 100 ps 5to95_0to100_0.trr --- 3rd 33.3% of a 5 us trajectory with snapshots every 100 ps 5to95_0to100.tpr --- tpr used for production (Gromacs 5.1.1) 5to95_0to100_rerun.tpr --- tpr used for stress analysis and centering 5to95_0to100.gro --- gro file after 15 us (10 us relaxation, 5 us production) index.ndx --- index file used in production 5to95_0to100.ndx --- index file used in analysis system.top --- topology file martini_v2.0_ions.itp --- martini FF file (system.top expects this to be in folder toppar/) martini_v2.0_lipids_all_201506.itp --- martini FF file (system.top expects this to be in folder toppar/) martini_v2.2.itp --- martini FF file (system.top expects this to be in folder toppar/) martini_straight_GM1_saveVels.mdp --- run input file used for production (Gromacs 5.1.1) martini_straight_GM1_rerunForP.mdp --- run input file used for analysis and centering effect_of_sampling_rate.pdf --- plot of results showing that fluctuations in CCFD do not appear to converge when data is added profiles_along_x_and_y.pdf --- plot of results showing that in CCFD pressure profiles along the membrane directions are not constant effect_of_centering_schemes.pdf --- plot of results showing that choice of center of mass (here three possibilities are shown: CoM of POPC GL1 beads, CoM of POPCs, and CoM of all lipids) visibly affects CCFD fluctuations, but not other features of the stress profile effect_of_centering_schemes_2.pdf --- plot of results (similar to 'effect_of_centering_schemes.pdf', but the center of the bilayer is at 3.7 nm instead at 0.0 / 7.4 nm) individual_components.pdf --- plot of results showing that the fluctuations in CCFD arise from dihedrals CCFD_gridsize.pdf --- plot of results showing that decreasing gridsize has no clear effect on the CCFD fluctuations	2825.0
zenodo	POPC with 0, 10, 20, and 30 mol-% of cholesterol at 310 K. Charmm36 force field.	A POPC bilayer consisting of 200 lipids (100 per leaflet) is simulated in the presence of 0% (0 molecules), 10 % (22 molecules), 20 % (50 molecules), or 30 % (86 molecules) of cholesterol. The Charmm36 model [1] is employed for lipids and the Charmm-compatible variant of the tip3p model for water. The Charmm36 force field parameters were obtained from CHARMM-GUI [2] at http://www.charmm-gui.org *** IMPORTANT *** This is a correction to an earlier dataset simulated with some missing dihedrals, see: DOI: 10.5281/zenodo.61649 –––––––––––––––––––––––––––––––––––––––––––––––––––––– The files are in GROMACS format. Trajectory (.xtc) is 100 ns long with data saved every 100 ps. Additionally, the initial structure (.gro), topology (.top), index file (.ndx), simulation paremeter file (.mdp), binary run input file for GROMACS v. 5.0–> (.tpr) and the energy output file (.edr) are provided.  UPDATE: Longer 500 ns trajectories are updated together with the checkpoint files. –––––––––––––––––––––––––––––––––––––––––––––––––––––– [1] Update of the CHARMM All-Atom Additive Force Field for Lipids: Validation on Six Lipid Types Jeffery B. Klauda, Richard M. Venable, J. Alfredo Freites,  Joseph W. O’Connor, Douglas J. Tobias, Carlos Mondragon-Ramirez, Igor Vorobyov, Alexander D. MacKerell, Jr., and Richard W. Pastor The Journal of Physical Chemistry B 2010 114 (23), 7830-7843 DOI: 10.1021/jp101759q   [2] CHARMM-GUI Input Generator for NAMD, GROMACS, AMBER, OpenMM, and CHARMM/OpenMM Simulations Using the CHARMM36 Additive Force Field Jumin Lee, Xi Cheng, Jason M. Swails, Min Sun Yeom, Peter K. Eastman, Justin A. Lemkul, Shuai Wei, Joshua Buckner, Jong Cheol Jeong, Yifei Qi, Sunhwan Jo, Vijay S. Pande, David A. Case, Charles L. Brooks, III, Alexander D. MacKerell, Jr., Jeffery B. Klauda, and Wonpil Im Journal of Chemical Theory and Computation 2016 12 (1), 405-413 DOI: 10.1021/acs.jctc.5b00935	1985.0
zenodo	Large POPC monolayer simulations with Charmm36+OPC @ 298 K (Part 2/2)	POPC monolayers simulated at a varying area per lipid in the NVT ensemble. The Charmm36 lipid model [1] is employed together with the 4-point OPC water model [2]. Each system contains two monolayers with 256 lipids each. These monolayers are separated by a water slab, and surrounded by vacuum.  The number in the filename corresponds to the area per lipid in Ångströms. The starting structures were generated by setting up a system with an area per lipid of 50 Å^2, followed by a simulation during which the monolayer area was expanded using PLUMED.  All trajectories, 100 ns long, are simulated with Gromacs 5.0.x [3] using the default Charmm36 monolayer simulations parameters given in the mdp file. This mdp file, together with the topology (.top) and index files (common for all simulations) can be downloaded from Part 1 of this upload (see below). The topologies (.itp) for the lipids can be obtained from Charmm-GUI and for the OPC water model from https://bioinformatics.cs.vt.edu/~izadi/ . Part 1 of this upload is available at: https://doi.org/10.5281/zenodo.322830 The data are discussed in the related publication: Matti Javanainen, Antti Lamberg, Lukasz Cwiklik, Ilpo Vattulainen, and O. H. Samuli Ollila. Atomistic Model for Nearly Quantitative Simulations of Langmuir Monolayers, Langmuir 2018 34 (7), 2565-2572, DOI: 10.1021/acs.langmuir.7b02855 [1] DOI: 10.1021/jp101759q [2] DOI: 10.1021/jz501780a [3] DOI: 10.1016/j.softx.2015.06.001  	1524.0
zenodo	Coarse-grained simulations of lipid membranes with various concentrations of embedded proteins	Membranes with a polydisperse set of proteins with lipid/protein ratios of 50 (lp50), 75 (lp75), 100 (lp100), 200 (lp200), and 400 (lp400) are simulated for 100 µs. The protein–protein interactions are scaled down to prevent excessive aggregation.  For all simulated lipid/protein ratio, a trajectory (.xtc) file is stored every 10 ns. Note that water beads and ions have been removed for a smaller file size. All beads, including solvent ones, are present in initial and final structures (.gro). Energy terms are stored every 1 ns (.edr). Simulation run input files (.tpr) and checkpoint files (.cpt) enable the rerunning or continuation of the simulations. Topology (.top) and index (.ndx) files for each system are also provided. The topology files for scaled protein–protein interactions work as follows: The bead types of the proteins in their topology files (.itp) are changed to those with a 'p', for example P4–>P4p. The interactions between normal beads are listed in martini_v2.2_standard.itp, while the interactions among 'p' beads as well as the cross terms between 'p' beads and normal beads are given in martini_v2.2_scaled_80.itp. The force constant of the elastic network was increased to enable an integration time step of 20 fs. The lipid head groups are gently restrained in the direction normal to the membrane to prevent excessive fluctuations and they hence simulate the presence of an actin cytoskeleton. The simulation parameters, common for all systems, are listed in the file md.mdp.  All files are compatible with Gromacs 5.0. The results extracted from these simulations are presented in the paper M. Javanainen, H. Martinez-Seara, R. Metzler, and I. Vattulainen; Diffusion of Integral Membrane Proteins in Protein-Rich Membranes. J. Phys. Chem. Lett., 2017, 8 (17), pp 4308–4313, DOI: 10.1021/acs.jpclett.7b01758 The Martini topologies are obtained form http://cgmartini.nl	1996.0
zenodo	Data from: A multiscale biophysical model for the recruitment of actin nucleating proteins at the membrane interface	The dynamics and organization of the actin cytoskeleton are crucial to many cellular events such as motility, polarization, cell shaping, and cell division. The intracellular and extracellular signaling associated with this cytoskeletal network is communicated through cell membranes. Hence the organization of membrane macromolecules and actin filament assembly are highly interdependent. Although the actin-membrane linkage is known to happen through many routes, the major class of interactions is through the direct interaction of actin-binding proteins with the lipid class containing poly-phosphatidylinositols (PPIs). Among the PPIs, phosphatidylinositol bisphosphate (PI(4,5)P2) acts as a significant factor controlling actin polymerization in the proximity of the membrane by binding to actin-associated proteins. The molecular interactions between these actin-binding proteins and the membrane lipids remain elusive. Here, using molecular modeling, analytical theory, and experimental methods, we investigate the binding of three different actin-binding proteins, mDia2, NWASP, and gelsolin, to membranes containing PI(4,5)P2 lipids. We perform molecular dynamics simulations on the protein-bilayer system and analyze the membrane binding in the form of hydrogen bonds and salt bridges at various PI(4,5)P2 and cholesterol concentrations. Our experimental study with PI(4,5)P2-containing large unilamellar vesicles mimics the computational experiments. Using the multivalencies of the proteins obtained in molecular simulations and the cooperative binding mechanisms of the proteins, we also propose a multivalent binding model that predicts the actin filament distributions at various PI(4,5)P2 and protein concentrations.	1849.0
zenodo	Model systems with GPCRs embedded in multicomponent membranes	Files required to run coarse-grained simulations on various lipid membranes with embedded adenosine A_2A and dopamine D_2 receptors. These simulations were performed to study the effect of the presence of polyunsaturated fatty acid on GPCR oligomerization. The detailed description of the aims, methodologies and results of this study are explained in the research paper [1]. The composition and purpose of each simulated system will also be explained in this paper [1]. The Martini force field [2,3] was employed in the study, and the simulations were performed with version 4.5.x of the GROMACS package [4]. For each system the following (in GROMACS compatible format) is provided: 1) Initial structure (*Start.gro) 2) Topology file (*.top) 3) Index file (*.ndx) In addition, for systems other than those containing only one protein, the final structure is given (*End.gro). Other files required to run the simulations, which are common for all the systems, are also provided: 4) Simulation parameter file (.mdp) 5) Force field parameters (.itp)   References:   [1] Guixà-González et al., Membrane omega-3 fatty acids modulate the oligomerisation kinetics of adenosine A2A and dopamine D2 receptors. Scientific Reports 6, Article number: 19839 (2016) DOI:10.1038/srep19839​ [2] Marrink et al., The MARTINI Force Field:  Coarse Grained Model for Biomolecular Simulations. Journal of Physical Chemistry B 111, 7812–7824 (2007), DOI:10.1021/jp071097f [3] Monticelli et al., The MARTINI Coarse-Grained Force Field: Extension to Proteins.   Journal of Chemical Theory and Computation 4, 819–834 (2008), DOI:10.1021/ct700324x [4] Pronk et al., GROMACS 4.5: a high-throughput and highly parallel open source molecular simulation toolkit. Bioinformatics 29  845-854 (2013), DOI:10.1093/bioinformatics/btt055	1862.0
zenodo	Interaction of the inhibitory peptides ShK and HmK with the voltage-gated potassium channel KV1.3: Role of conformational dynamics	ABSTRACT: Peptide toxins that adopt the ShK fold can inhibit the voltage-gated potassium channel KV1.3 with IC50 values in the pM range, and are therefore potential leads for drugs targeting autoimmune and neuroinflammatory diseases. NMR relaxation measurements and pressure-dependent NMR have shown that, despite being cross-linked by disulfide bonds, ShK itself is flexible in solution. This flexibility affects the local structure around the pharmacophore for KV1.3 channel blockade and, in particular, the relative orientation of the key Lys and Tyr side chains (Lys22 and Tyr23 in ShK), and has implications for the design of KV1.3 inhibitors. In this study, we have performed molecular dynamics (MD) simulations on ShK and a close homolog, HmK, in order to probe the conformational space occupied by the Lys and Tyr residues, and docked the different conformations with a recently determined cryo-EM structure of the KV1.3 channel. Although ShK and HmK have 60% sequence identity, their dynamic behaviors are quite different, with ShK sampling a broad range of conformations over the course of a 5 μs MD simulation, while HmK is relatively rigid. We also investigated the importance of conformational dynamics, in particular the distance between the side chains of the key dyad Lys22 and Tyr23, for binding to KV1.3. Although these peptides have quite different dynamics, the dyad in both adopts a similar configuration upon binding, revealing a conformational selection upon binding to KV1.3 in the case of ShK. Intriguingly, the more flexible peptide, ShK, binds with nearly 300-fold higher affinity than HmK.	1747.0
zenodo	SIRAH-CoV2 initiative: T307I Mutation in a SARS-CoV-2 Spike from sub-Antarctic Chile	"This dataset contains the trajectories of 10 microseconds-long coarse-grained molecular dynamics simulations of the soluble part of the wild-type spike protein of SARS-CoV2, the single mutant D614G, and the double mutant T307I/D614G. Simulations are based on the PDB structure 6XR8. Loops were completed using the SwissProt sever, and glycans were not included. Simulations were performed using the SIRAH force field 2.0 running with the Gromacs 2018.3 package at the Institut Pasteur de Montevideo under the conditions reported in Machado et al. JCTC 2019, adding 150 mM NaCl according to Machado & Pantano JCTC 2020.  The following files in gromacs format are provided for each simulation: i) a .psf containing the topological information (connectivity, etc) ii) a big .xtc file containing 10 microseconds of the CG protein recorded every 200 picoseconds (50000 frames) iii) a smaller .xtc file containing the same trajectory but with only one frame per nanosecond (1000 frames) iv) a .gro file with the initial configuration Finally, the file sirah_vmdtk.tcl contains a series of macros and scripts that facilitate the visualization and analysis of the CG trajectories. Step-By-Step tutorials for visualizing and analyzing CG trajectories using SirahTools can be found at www.sirahff.com. To take a quick look at a trajectory using VMD 1.9.3, run the command: > vmd SpikeWT-SIRAH.psf SpikeWT-SIRAH.gro SpikeWT-SIRAH-1kfrm.xtc -e sirah_vmdtk.tcl Note that you can use normal VMD drawing methods as vdw, licorice, etc., and coloring by restype, element, name, etc.  This dataset is part of the SIRAH-CoV2 initiative for data sharing. If you use this data, please cite Garay PG, et al ""The SIRAH-CoV-2 Initiative: A Coarse-Grained Simulations’ Dataset of the SARS-CoV-2 Proteome"". Front. Med. Technol. 3:644039. doi: 10.3389/fmedt.2021.644039 For further details, please contact Sergio Pantano (spantano@pasteur.edu.uy)."	2004.0
zenodo	Simulations of Spontaneous TM Domain Dimer Formation	"Simulations of spontaneous dimer formation of 5 TM domain dimers in DLPC bilayers. Simulations are performed in the coarse-grained scheme using either standard Martini parametrization or its derivative in which the protein–protein interactions (Lennard-Jones epsilons) are downscaled by 10%.  The tar files are named after the PDB codes of the corresponding dimers. Each tar contains 10 replicas (files numbered 1 to 10) for both scaled (S) and unscaled (U) force fields. The trajectory (.xtc, stored every 10ns, solvent omitted), energy file (.edr), and run input file (.tpr) for GROMACS are provided for each replica. The starting structures (.gro) shared by scaled and unscaled are also given. The index file (.ndx) is common for all simulations of the dimer, and the topology files (.top) are given separately for simulations using the scaled and unscaled force fields. The common simulation parameter file (.mdp) is provided. TOP.tar contains all topologies. The scaling is achieved by adding 'p' to the bead types in the proteins. The corresponding parameters are given in the ""martini_v2.2_scaled.itp"" file. Note that for uniform style, the unscaled parameters are given in a similar manner in a file ""martini_v2.2_unscaled.itp"". For a more thorough explanation of the purporse of the files and the simulation parameters, see the related publication: Javanainen M, Martinez-Seara H, Vattulainen I (2017) Excessive aggregation of membrane proteins in the Martini model. PLoS ONE 12(11): e0187936. https://doi.org/10.1371/journal.pone.0187936"	1599.0
zenodo	Configurations and parameters for DMPC and DMTAP lipids and their mixtures	Configurations containing cationic (charge: +1) DMTAP and DMPC lipids, water and neutralizing ions (when necessary) at 50 C for the following systems: Pure DMPC: 128 lipids (all DMPC, 0 Cl ions) and 3655 waters. File: dmpc128_20ns.pdb 6% DMTAP: 128 lipids (120 DMPC, 8 DMTAP, 8 Cl ions) and 3647 waters. File: tap06_20ns.pdb 16% DMTAP: 128 lipids (108 DMPC, 20 DMTAP, 20 Cl ions) and 3635 waters 25% DMTAP: 128 lipids (96 DMPC, 32 DMTAP, 32 Cl ions) and 3623 waters 31% DMTAP: 128 lipids (88 DMPC, 40 DMTAP, 40 Cl ions) and 3615 waters 39% DMTAP: 128 lipids (78 DMPC, 50 DMTAP, 50 Cl ions) and 3605 waters 50% DMTAP: 128 lipids (64 DMPC, 64 DMTAP, 64 Cl ions) and 3591 waters 63% DMTAP: 128 lipids (48 DMPC, 80 DMTAP, 80 Cl ions) and 3575 waters 75% DMTAP: 128 lipids (32 DMPC, 96 DMTAP, 96 Cl ions) and 3559 waters 89% DMTAP: 128 lipids (14 DMPC, 114 DMTAP, 114 Cl ions) and 3541 waters Pure DMTAP: 128 lipids (all DMTAP, 128 Cl ions) and 3527 waters: File: dmtap128_24ns.pdb Simulation time for each system is shown in the file name. Parameter files are: dmpc.itp and dmtap.itp. The file lipid.itp is also needed (these are Berger lipids). Download lipid.itp from http://wcm.ucalgary.ca/tieleman/downloads The PDF file (TablePDB.pdf ) contains a summary of the systems with area per lipid and error. References: Cationic DMPC/DMTAP Lipid Bilayers: Molecular Dynamics Study, Gurtovenko, Patra, Karttunen, Vattulainen, Biophys. J. 86, 3461-3472 (2004). Effect of Monovalent Salt on Cationic Lipid Membranes As Revealed by Molecular Dynamics Simulations, A. A. Gurtovenko, M. Miettinen, M. Karttunen, and I. Vattulainen J. Phys. Chem. B 109, 21126-21134 (2005). Ion Dynamics in Cationic Lipid Bilayer Systems in Saline Solutions, M.S. Miettinen, A.A. Gurtovenko, I. Vattulainen, and M. Karttunen, J. Phys. Chem. B 113, 9226-9234 (2009).    	1913.0
zenodo	Umbrella Sampling Simulations of TM Domain Dimerization	"Umbrella sampling simulations of dimer formation of 2 TM domain dimers in DMPC/DLPC bilayers. Simulations are performed in the coarse-grained scheme using different force fields; normal Martini (N), Martini with all protein–protein interactions scaled (U) by 10% (U_10) or 20% (U_20), Martini with interactions among water-interacting beads scaled (W) either by 60% (W_60), 80% (W_80), or 90% (W_90), or the polarizable Martini (P). The original Martini is also repeated with an older set of 'common' simulation parameters (C). The tar files are named after the PDB codes of the corresponding dimer and the type of force field employed (see above). The tar files contain the run input files (.tpr) and the corresponding simulation parameter files (.mdp) for all umbrella windows; i.e. ""EPHA_U_80_18.tpr"" is the run input file for the EPHA dimer with all protein–protein interactions scaled down by 20% and with a protein–protein distance restrained to 18 Å by the umbrella potential. This tpr is generated from the simulation parameter file, the topology file (here EPHA_U_80.top), the index file (here EPHA.ndx), and the initial structure (here EPHA_start_18.gro, available in the EPHA-frames.tar). The index and initial structures for the polarizable model differ, and are provided in ""EPHA-P.ndx"" and ""EPHA-frames-P.tar"", respectively. All topologies (.itp) are provided in TOP.tar. The scaling is achieved by adding 'p' to the bead types in the proteins; either all types (scaling U) or to those more in contact with water than the membrane (scaling W) The corresponding parameters are given in the ""martini_v2.2_scaled_X.itp"" file. Note that for uniform style, the unscaled parameters are given in a similar manner in a file ""martini_v2.2_unscaled.itp"". Here, the .itp files follow the naming convention of the paper (see below) so that X=1 means downscaling of LJ epsilon by 10%, i.e. it corresponds to files with ""_10"". For a more thorough explanation of the purporse of the files and the simulation parameters, see the related publication: Javanainen M, Martinez-Seara H, Vattulainen I (2017) Excessive aggregation of membrane proteins in the Martini model. PLoS ONE 12(11): e0187936. https://doi.org/10.1371/journal.pone.0187936"	2292.0
zenodo	Source molecular simulation data for calculating energy and friction profiles and permeability coefficients through model lipid membranes	"Energy files from GROMACS molecular dynamics simulations with enhanced free energy sampling contain time-dependent evolution of the free energy profiles and friction profiles (and other energies and simulation properties) that were used for calculating permeability coefficients in the publication https://www.biorxiv.org/content/10.1101/2021.07.16.452599v1 Simulation system contains a lipid POPC or DPPC bilayer with a varying amount of cholesterol (specified as mol% in the file name). Hydrophobic level of the permeating particle is specified as ""level-I"", ""level-II"" etc. When unspecified in the file name, the particle is hydrophobic level ""III"". Lipids D-C14-PC denote PC lipids with both tails monounsaturated of length 14 carbon atoms. DOPC is equivalent to D-C18-PC. (Detailed description in the publication) Adaptive Weighted Histogram (AWH) method was used to sample the free energy profile of translocating small molecule through the lipid bilayer. GROMACS tool `gmx awh` reads the files and provides the described profiles. Files were generated by GROMACS `mdrun` simulation engine version 2019.3.   Coarse-grained MARTINI 3.0 model was used for modeling the biomolecular interactions. Scripts to perform the simulations and the files with initial configurations and simulation settings are stored in a public GitHub repository depozited on Zenodo.org: https://doi.org/10.5281/zenodo.5082249.   Abraham, M. J. et al. GROMACS: High performance molecular simulations through multi-level parallelism from laptops to supercomputers. SoftwareX 1–2, 19–25 (2015). Lindahl, V., Lidmar, J. & Hess, B. Accelerated weight histogram method for exploring free energy landscapes. J. Chem. Phys. 141, 044110 (2014). Souza, P. C. T. et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics. Nat. Methods 18, 382–388 (2021). Melcr, J. Git repository with analysis scripts for MD simulations of permeability through lipid membranes. (2021) doi:https://doi.org/10.5281/zenodo.5082249."	2146.0
zenodo	All-atom Molecular Dynamics Simulations of Meiosis 1-associated protein (M1AP) to Investagate the Impact of Known Missense Mutations Associated with Male Infertility through Non-obstructive Azoospermia	"Protein structure of meiosis 1-associated protein (M1AP) was modelled by using GalaxyWeb (from Seok Lab). We used this model to investigate the impact of variants (i.e., S50P, R266Q, P389L, G317R, and L430P) in M1AP which were recently associated with non-obstructive azoospermia (NOA). NOA is a male infertility-related condition causing absence of sperm in the seminal fluid due to meiosis failure. We aimed to elucidate the pathogenicity mechanisms of these five missense NOA-related mutations on M1AP by performing molecular modeling and molecular dynamics (MD) simulations. This dataset includes the results of 1000 ns MD simulations (two repeats, each 500 ns) for each of the mutant and wild-type systems. Systems were prepared in Visual Molecular Dynamics (VMD 1.9.3) by placing them in a TIP3P water box with approximately 20 Å thickness from the protein surface and neutralizing the system charge with 0.15 M KCl. Of note, only protein parts were kept for the submission to reduce the size of files. Nanoscale Molecular Dynamics (NAMD 2.13-CUDA) was used to perform MD simulations with CHARMM36m force field. For pressure and temperature controls, Nosé-Hoover Langevin barostat and Langevin thermostat were used. ShakeH algorithm of NAMD was applied for water molecule constraints. 12 Å cut-off distance was used for van der Waals interactions. Switching function starts at 10 Å and reaches zero at 14 Å. Integration time-step was 2 fs. To compute the long-range Coulomb interactions, the particle-mash Ewald method was used. NPT ensemble was applied for whole simulations. Two step minimization & equilibration procedure was performed: (1) 5,000-step minimization and 1 ns equilibrium with constraints on the protein; (2) 5,000-step minimization and 1 ns equilibrium without the constraints on the protein. All related configuration files for wild-type system were also included to the dataset. Production simulations were run twice along 500 ns by using different random seeds to assign the velocities from Boltzmann distribution (total simulation time for each system was 1000 ns, which are given as 500 ns repeat 1, and 500 ns repeat 2). The production simulations were supplied in the dataset. ""out"" and ""log"" files were used for energy analysis. For all analysis scripts, see https://github.com/ugerlevik/M1AP_analysis."	2535.0
